order_id,customer_id,order_date,category,product_name,region,payment_method,quantity,unit_price,discount_pct,revenue,order_status,rating,delivery_days
ORD000001,CUST10897,2023-01-01 00:21:01.465229,Beauty,Beauty Product 17,Central,Credit Card,2,1972.37,0,3944.74,Delivered,2.9,9
ORD000002,CUST07478,2023-01-01 00:42:02.930458,Grocery,Grocery Product 90,North,Debit Card,5,98.77,10,444.46,Delivered,2.9,7
ORD000003,CUST03027,2023-01-01 00:42:02.930458,Grocery,Grocery Product 16,East,Debit Card,5,586.31,25,2198.66,Cancelled,4.2,14
ORD000004,CUST00079,2023-01-01 00:42:02.930458,Grocery,Grocery Product 17,South,COD,1,485.26,30,339.68,Delivered,2.0,10
ORD000005,CUST11007,2023-01-01 01:03:04.395687,Beauty,Beauty Product 3,West,Net Banking,4,2248.94,0,8995.76,Delivered,4.4,6
ORD000006,CUST13656,2023-01-01 01:03:04.395687,Home & Kitchen,Home & Kitchen Product 71,North,UPI,1,10247.48,25,7685.61,Delivered,3.6,6
ORD000007,CUST03548,2023-01-01 01:45:07.326146,Clothing,Clothing Product 53,Central,Net Banking,1,4482.46,25,3361.84,Returned,1.3,4
ORD000008,CUST02502,2023-01-01 02:48:11.721834,Books,Books Product 81,West,Net Banking,1,221.71,5,210.62,Delivered,4.9,7
ORD000009,CUST14599,2023-01-01 03:09:13.187063,Toys,Toys Product 47,North,Net Banking,5,1803.3,10,8114.85,Delivered,4.4,9
ORD000010,CUST11991,2023-01-01 03:09:13.187063,Books,Books Product 90,South,UPI,5,141.72,0,708.6,Delivered,4.0,13
ORD000011,CUST04575,2023-01-01 03:09:13.187063,Home & Kitchen,Home & Kitchen Product 42,East,Net Banking,5,3513.98,0,17569.9,Delivered,3.9,14
ORD000012,CUST08511,2023-01-01 03:30:14.652293,Books,Books Product 1,South,Net Banking,5,807.5,0,4037.5,Delivered,4.0,1
ORD000013,CUST09959,2023-01-01 03:30:14.652293,Books,Books Product 75,East,Credit Card,2,137.15,10,246.87,Delivered,1.4,8
ORD000014,CUST03167,2023-01-01 03:30:14.652293,Home & Kitchen,Home & Kitchen Product 73,East,COD,3,3222.91,10,8701.86,Delivered,2.5,9
ORD000015,CUST13614,2023-01-01 04:12:17.582751,Electronics,Electronics Product 2,Central,Debit Card,2,52165.81,0,104331.62,Cancelled,5.0,1
ORD000016,CUST12716,2023-01-01 04:33:19.047980,Beauty,Beauty Product 62,North,UPI,3,1703.08,0,5109.24,Delivered,3.7,2
ORD000017,CUST02307,2023-01-01 04:54:20.513210,Home & Kitchen,Home & Kitchen Product 5,Central,Credit Card,5,3540.48,5,16817.28,Cancelled,3.2,9
ORD000018,CUST03727,2023-01-01 04:54:20.513210,Clothing,Clothing Product 14,North,UPI,2,3028.48,20,4845.57,Delivered,1.9,14
ORD000019,CUST10618,2023-01-01 05:15:21.978439,Sports,Sports Product 79,Central,COD,3,8170.53,10,22060.43,Delivered,3.7,2
ORD000020,CUST07627,2023-01-01 05:15:21.978439,Electronics,Electronics Product 39,North,Debit Card,4,1016.65,15,3456.61,Delivered,4.5,3
ORD000021,CUST14601,2023-01-01 05:36:23.443668,Home & Kitchen,Home & Kitchen Product 28,Central,COD,1,12145.54,10,10930.99,Delivered,4.0,3
ORD000022,CUST07891,2023-01-01 05:36:23.443668,Electronics,Electronics Product 1,North,Debit Card,3,56002.08,5,159605.93,Delivered,4.3,5
ORD000023,CUST05991,2023-01-01 05:36:23.443668,Sports,Sports Product 48,North,UPI,2,3666.4,25,5499.6,Delivered,1.1,12
ORD000024,CUST06889,2023-01-01 05:57:24.908898,Books,Books Product 81,Central,Net Banking,2,317.67,20,508.27,Cancelled,2.1,9
ORD000025,CUST08054,2023-01-01 06:18:26.374127,Books,Books Product 70,South,UPI,4,1440.1,0,5760.4,Delivered,4.8,4
ORD000026,CUST07797,2023-01-01 06:39:27.839356,Sports,Sports Product 39,Central,Debit Card,3,3631.31,20,8715.14,Delivered,4.4,4
ORD000027,CUST10017,2023-01-01 06:39:27.839356,Books,Books Product 57,North,Debit Card,1,229.84,0,229.84,Pending,1.1,3
ORD000028,CUST04440,2023-01-01 06:39:27.839356,Electronics,Electronics Product 11,North,Debit Card,2,8188.95,0,16377.9,Delivered,1.7,6
ORD000029,CUST06159,2023-01-01 07:00:29.304586,Books,Books Product 52,South,UPI,5,1286.49,15,5467.58,Delivered,2.4,4
ORD000030,CUST06357,2023-01-01 07:21:30.769815,Sports,Sports Product 28,South,Net Banking,5,6195.77,0,30978.85,Pending,4.3,2
ORD000031,CUST14179,2023-01-01 07:42:32.235044,Sports,Sports Product 36,North,COD,3,8148.43,0,24445.29,Delivered,1.2,7
ORD000032,CUST08935,2023-01-01 08:24:35.165503,Beauty,Beauty Product 34,North,COD,4,2229.74,15,7581.12,Pending,3.7,1
ORD000033,CUST05328,2023-01-01 08:45:36.630732,Sports,Sports Product 16,North,COD,1,5547.79,10,4993.01,Returned,2.0,1
ORD000034,CUST03351,2023-01-01 09:06:38.095961,Clothing,Clothing Product 41,East,Credit Card,3,4870.96,15,12420.95,Delivered,4.2,13
ORD000035,CUST13612,2023-01-01 09:06:38.095961,Toys,Toys Product 14,South,COD,3,1638.43,0,4915.29,Delivered,2.5,3
ORD000036,CUST03052,2023-01-01 09:27:39.561191,Electronics,Electronics Product 30,Central,COD,1,44387.23,5,42167.87,Delivered,1.7,1
ORD000037,CUST04544,2023-01-01 09:48:41.026420,Sports,Sports Product 50,South,Credit Card,2,8362.28,5,15888.33,Delivered,2.4,1
